001325-0001	Highly recommended
009970-0001	BEST CHINESE RESTAURANT EVER!!!
009970-0002	It was the best Chinese food I have ever had.
009970-0003	All the food tasted excellent, and with the new renovation of chairs and the bathroom, it is awesome.
009970-0004	The people working their are also extremely polite and friendly.
009970-0005	Every time I go, Kevin, the manager, will always remember my family and I.
009970-0006	Overall, it is very family oriented, and I recommend it to everyone!!!
010378-0001	Poor Experience
010378-0002	I did not have a good experience w/ Dr. Ghassemlou.
010378-0003	During the session, he demanded to have my physical address, which I've always kept private as I am enrolled in a witness protection program.
010378-0004	I believe he is correct in that he needs my physical address for legal reasons, however, he did not adequately explain this during our session.
010378-0005	I learned more about this doing my own research afterward.
010378-0006	I think he could've done more to assuage my concerns by giving me concrete facts.
010378-0007	Saying that I need to give him my address or else I have intimacy issues is not helpful.
010378-0008	It's pretty combative actually.
010393-0001	Auto Towing is one of the best towing services I have used.
010393-0002	The first time I used them they arrived on time and towed car for me to the destination I needed.
010393-0003	The auto mechanics that work for Auto Towing are very friendly and informative and answered any question I had.
010393-0004	They have towed car for me a few times and I am always very satisfied with this services.
010393-0005	If you are looking for towing services that can offer you a good towed car service, then Auto Towing is the company for you.
010433-0001	Food good, service poor
010433-0002	No silverware, asked for a spoon for my sons mac and cheese ended up having to use my tea spoon.
010433-0003	Asked for bar-b-que sauce never got it.
010433-0004	Never checked back with us once we got our food.
010433-0005	Had to go the the bus boys station ourselves to get napkins.
010433-0006	Only one server, too buys talking with others I guess.
010433-0007	Food was good, but service means a lot to me.
010450-0001	As a native southern Californian I can tell you that this is not authentic Mexican food.
010450-0002	However, I still like this place a lot.
010450-0003	Esp. the mole, tortilla soup, and guacamole.
010450-0004	Margaritas are alright.
010450-0005	My only complaint is the QUESO.
010450-0006	It used to be fabulous, why did you guys change it??
010450-0007	Queso should not be watery :( .....
010450-0008	***update*** NEVER MIND!
010450-0009	They fixed the queso!
010450-0010	Thankyouthankyou
010820-0001	The moving company is actualy based in Brooklyn, but advertised all over NY/NJ, including Fort Lee.
010820-0002	When the guys arrived (2 hours later than agreed) they told that you have to pay all the tolls they payed coming from Brooklyn and extra $100 for them to drive back from your destination.
010820-0003	That was not in agreement eather, but they realy demand it.
010820-0004	And another $100 for wrapping the furniture.
010820-0005	So totalling $212 just for start before any work started.
010820-0006	Guess what, was not in the initial agreement as well.
010820-0007	I was moving out from 2 bdr apartment and it took for 3 strong guys 6 hours to load a track (from 2pm-8pm).
010820-0008	The only reason I'm giving 3 stars instead of 1 or 2, I should admit, nothing was broken.
010820-0009	So I still can recomend them but prepare pay twice as much as they tell you initially.
010820-0010	One more thing, they don't take any credit cards or checks.
010820-0011	You have to pay CASH ONLY before they start unloading track on your destination.
011257-0001	It was a Saturday and my spring was broken...
011257-0002	I googled Garage Door Repair in Woodinville and found NDI - Johnette answered the phone and was oh-so pleasant and helpful!
011257-0003	She sort of appologized for Dan taking the day off to go skiing - but he could do the repair on Sunday!
011257-0004	I said great and Dan arrived on time at 10am to make the repair.
011257-0005	I enjoyed speaking with Dan, and learning more about how the springs are sized for these doors.
011257-0006	The repair went quickly and the price was extremely fair.
011257-0007	I would highly recommend NDI - and will spread the word to my neighbors.
011257-0008	Thanks Dan and Johnette for your responsiveness and professional service.
011257-0009	Roger M., Woodinville
011806-0001	absolutely fantastic experience getting my iphone upgraded at Zion ...
011806-0002	Sheer contrast to getting it done at karol bagh which is done under the wooden plank
012047-0001	Very knowledgeable and friendly design build firm.
012047-0002	They specialize in financial institutions, medical, and retail projects.
012047-0003	These guys know what they're doing and helped me in all phases of our project.
014483-0001	Poor Service
014483-0002	After firing this company my next pool service found the filters had not been cleaned as they should have been.
014483-0003	I would recommend not using this company.
014629-0001	There is no delivery.
014629-0002	There is no delivery.
014764-0001	Daniel and his assistant both did a great job.
014764-0002	Very professional and great results.
014764-0003	Many thanks from myself and all of our wedding guests!
015148-0001	This place has the best baby and childrens clothes.
015148-0002	Especially high end keep sake sort of clothing that you just cant find in a lot of stores.
015148-0003	It is all very unique and you wont find any other baby wearing the same stuff.
015148-0004	I spent quite a bit because I spoil my little princess.
015148-0005	Afterall she will only be a baby for so long I figure why not enjoy it.
015573-0001	Buyer beware
015573-0002	Do not use these guys.
015573-0003	They'll tell you one thing then $5,000 later do another.
015573-0004	Lied right to my face then denied it.
015573-0005	Run away.
015687-0001	marisol
015687-0002	this place is awesome twelve did an amazing job place is clean and staff is friendly
016861-0001	Stayed in the Seaview room here in December 2009!
016861-0002	WOW what stunning views.
016861-0003	The furnishing and finishes are great.
016861-0004	I highly recommend Bay View if you are looking for Accommodation in Camps Bay.
017235-0001	Antique Lighting, Fixtures, Chicago
017235-0002	Great place for Antique Lighting!
017235-0003	I visited their huge Chicago lighting showroom and all I have to say is WOW!!
017235-0004	Lots of collections, many antique light fixtures, Chandeliers, custom lighting etc.
017235-0005	I think they have the largest collection for Chandeliers Chicago.
017235-0006	Antiques, Vintage, Contemporary & Modern Chandeliers.
017235-0007	I would recommend them for any custom lighting or Lighting Repair and Restoration Chicago
017345-0001	UGH!!!
017345-0002	Got some nice "freshly baked" fruit squares, a personal favorite of mine.
017345-0003	Took a bite, it tasted odd.
017345-0004	Flipped the square over and saw it riddled with green mold!!!!
017345-0005	Ugh!!
017345-0006	I called the store and the clerk giggled, and agreed that it was gross, but said it was not her problem.
017345-0007	She also refused to get a manager.
017345-0008	I left my number, or tried to anyway.
017345-0009	Same clerk had considerable difficulty taking down a number.
017345-0010	I'll never go back there again
018268-0001	best square slice around.
018465-0001	The Salon Experience from Hell
018465-0002	I feel obligated to share this story.
018465-0003	Right out of college I called the salon and explained my situation.
018465-0004	Just graduated, just moved, not rich, and starting new job soon.
018465-0005	I never got a price quote over the phone and they take your cc info just to make the appointment because if you don't show up, they'll charge you.
018465-0006	I had this ridiculous celebrity stylist from LA named Derrick.
018465-0007	After he already put product on my hair he said "I should warn you, I'm expensive."
018465-0008	What was I supposed to do, say I can't afford you and walk out with crap all over my hair.
018465-0009	I wanted to be very blonde and instead he pulled my root color throughout my whole hair which is a gross mousey brown.
018465-0010	The other stylists around me kept pressuring me saying he's so wonderful, you're going to love your hair.
018465-0011	$400 later my jaw dropped when the receptionist told me the total.
018465-0012	Derrick did a terrible job, was a complete jerk the entire time, and I had no warning as to the price.
018465-0013	I cried the entire way home.
018465-0014	He then "fixed" it for free but it still looked like crap.
018465-0015	I will never go back.
018465-0016	It was the salon experience from absolutely Hell.
018465-0017	He also told me that he worked on the cast of will and grace and that they were all jerks.
018465-0018	That's my favorite show of all time.
018465-0019	I'm pretty sure for the cast that it was the other way around.
018465-0020	Maybe he didn't do a good job and they told him so.
018465-0021	Absolute Nightmare!
018465-0022	STAY AWAY!
018548-0001	Mezza Luna FTW!
018548-0002	their mezza luna's are deffly better than the pizza rolls.
018548-0003	its like a pizza roll, but they just toss ham and cheese inside.
018548-0004	it seems like its healthier too, but its prolly not.
018548-0005	also, you can call em ahead of time, and then go to pick up ur food, or have it delivered**.
018548-0006	that cuts down on teh wait time, cus u can do other stuff while ur waiting.
018548-0007	it usually takes 20mins for a mezza luna, as they have to add pure delicious extract to the mix.
018548-0008	their pizza was a little salty for me, but its still good.
018548-0009	they do that whole thing where you sandwich the pepperoni between layers of cheese for +32 delicious.
018548-0010	anyways, the mezza luna: you should try it.
018548-0011	it runs you about 4 bucks and it deals crushing blows to hunger.
018548-0012	**Edit: Living on campus at Clarkson University, I have had food delivered before.
018548-0013	This was back between '05 and '09 and I don't remember how many times we've had it delivered.
018548-0014	Perhaps they don't deliver anymore, but the deliciousness of a mezza luna certainly warrants a pickup.
018562-0001	Great Job
018562-0002	I want to say that Mike did a great job for our family in our time of need.
018562-0003	Both my grandparents passed away 4 months apart and Mike was very understanding.
018562-0004	It was a very trying time for my family and myself yet Mike took the time to greet each and everyone one of us.
018562-0005	He is very professional in his position as a director and yet he still made time to be compassionate for what we were all going through.
018562-0006	I'm sure its not everyday that a funeral director sees the same family in such a short time.
018562-0007	My grandfather passed away silently in his sleep, and my grandmother passed away after a short struggle with cancer.
018562-0008	Both my grandparents looked as natural as could be expected.
018562-0009	Thank you Mike for all your help professionally and personally.
018562-0010	The Peterson Family
020851-0001	The Best Deals in Town
020851-0002	Before you buy ANYTHING in NY, make sure you stop by Jack-s first.
020851-0003	Their selection is random, so what they have on a given week might never be available again at the store.
020851-0004	I love it for discounted beauty items and household appliances.
020851-0005	Trust me, you go there once and you-ll always go back!
020957-0001	He's great!
020957-0002	I won't go to anyone else.
020992-0001	Don't Expect Sleep or Courtesy
020992-0002	I was booked for 2 nights at this hotel in Oct 2007.
020992-0003	At 3:15 am on night #2, the fire alarm and strobe light activated in my room.
020992-0004	These are not household type alarms.
020992-0005	When they sound off, it is a true audio/visual experience.
020992-0006	I called the front desk and got no answer.
020992-0007	After checking for signs of fire or smoke and seeing none, I decided to just pack up and leave.
020992-0008	The desk agent actually argued with me, claiming that no such alarm had gone off (as if I would make that up?).
020992-0009	He finally admitted that only the 4 ADA room alarms had sounded, so only 4 guests were effected (no big deal to him).
020992-0010	This little drip offered no apologies whatsoever, and even refused to give me the name of the manager until I pressed him for it 3 times.
020992-0011	This hotel is adequate enough, but there is an obvious problem with the staff and management.
020992-0012	Do not go there if you expect to sleep through the night.
021370-0001	It's fine for...
021370-0002	It's fine for mass-market chocolate, but with companies like Scharffen Berger, TCHO, and smaller artisan chocolate makers in the area, why?
022273-0001	Good food, good location, and good prices.
022273-0002	But the servers don't pay attention to you whether it's busy or not.
022461-0001	The best in the area!
022461-0002	I've been to quite a few tattoo shops around this area and Stainless Steel is by far the best.
022461-0003	I am very pleased with the tattoos that I revived from them.
022461-0004	The artwork is excellent and the prices are very reasonable.
022461-0005	I would recommend this shop to anyone looking to get a tattoo.
022533-0001	Rude service
022533-0002	even though I have never tried hoa salon but I agree with other reviewers that they are rude.
022533-0003	I called and asked about the price for hair updo and the receptionist or owner who aswered the phone refused to tell me, or even just give me an approximate price range.
022533-0004	He told us to stop by the salon and then he will tell us the price.
022533-0005	What kind of rude service is that?
022533-0006	I don't want to waste my time with them.
022900-0001	Very hard work from the boys in blue there!
022900-0002	Brilll.
022900-0003	Very hard work from the boys in blue there!
023620-0001	This is one of the worst places I have stayed, we cut out stay short and went to the Mulberry.
023620-0002	Even though they still charge you the days you booked but won't use, it is worth the get the hell out of this crap hole.
023620-0003	The whole experience shows a hotel managed by what must be a 2 star hotel manager.
023620-0004	Bad service starting from the front desk.
023620-0005	The best person is the valet.
023620-0006	Short of that, avoid this place, as a silver Marriott member, this is a disgrace.
023926-0001	Great job!
023926-0002	Mercedes and Dan are very thorough and on top of everything!
024132-0001	Range Rover Sport Window Tints
024132-0002	Mark at Tintman Nationwidetints Ltd, did a very Professional job very quick, no fuss, deliverd the car to me and I drove him back home,Great arrangement Great price!!
024132-0003	Highly recommended!!
024132-0004	Thanks Mark.
024132-0005	Steve.... proud Range Rover Sport owner (with rear tints)
024306-0001	Worst Tasting Pizza
024306-0002	This place had the worst tasting pizza I have ever tasted it was possible the worst food I've ever eaten.
024306-0003	I don't recommend this place to anyone or even anything to eat.
024385-0001	Another great business bites the dust!
024385-0002	The best cakes EVER!
024385-0003	A bit pricey, so I didn't go very often, but it was always a treat when I did.
024385-0004	The prices were worth what I got.
024385-0005	I'm assuming they are completely out of business since I can't find any contact information.
024385-0006	I'm hoping the bakers continue to do their baking out of another place, because it would be a shame not to have these cakes any longer.
025516-0001	Very friendly people offering a brilliant service.
025516-0002	Sent scented flowers home instead of postcards.
025516-0003	Recommend you call in for a look.
025894-0001	Average food and deathly slow service
025894-0002	I have eaten here several times and everytime the service is slower than slow.
025894-0003	One time we even left after sitting at the table for 20 minutes and not being greeted with a drink order.
025894-0004	Ridiculous.
025894-0005	There must be a better mexican place in Rockland.
026641-0001	You've Got Maids did a fabulous job cleaning my home.
026641-0002	I am hiring them to come once a week now that they got my house to where they can maintain it for only an hour and a half every two weeks!
026641-0003	Satisfactory for sure with the sercvice!
026641-0004	Beats having one "cleaning lady" who took twice as long and did not do a very through job like the "maids" did!
026883-0001	Poor Service
026883-0002	Run don't walk.
026883-0003	My experience with Home Delivery Service has been one of disappointment and anger.
026883-0004	If I could give them a lower rating than poor I would.
026883-0005	On August 21st, 2009 I ordered furniture from Hickory Furniture Mart and contracted for HDS to deliver it.
026883-0006	After seventeen days the delivery van showed up at my home minus two pieces.
026883-0007	I was later told they had been left at the warehouse and some future date they would be delivered.
026883-0008	No one will give me a date.
026883-0009	I spent $2300 on the bedroom suite, which was complete and excellent condition on the showroom floor.
026883-0010	Upon delivery it was clear the entire set was damaged: a piece of wood was broke on the headboard; the chest of drawers was missing all four pieces necessary to attach the legs; the dresser back legs were pushed in causing the dresser to lean into the wall; and a nighstand was missing a drawer.
026883-0011	How do you lose a drawer.
026883-0012	After complaining on September 10th to National Home Furnishings, Boyles, the Hickory Furniture Mart and Home Delivery Service the latter finally called me back and said they would be up to pick the dresser and chest of drawers at some future point and at some later point it would be professional repaired and at some later point it would be returned.
026883-0013	The customer service at Home Delivery Service was terrible let alone their promise to proper set up furniture.
026883-0014	So I am in limbo regarding a bedroom suite.
026883-0015	I hope the owners and employees of this store have broken bedroom suites in their homes and furniture sitting in someone's warehouse.
026883-0016	Maybe then they will begin to understand poor customer service and terrible sit up service.
028996-0001	Farrell Electric is a very good electrical contractor.
028996-0002	I'm pleased that someone referred me to them for my commercial business.
028996-0003	I own a property management firm and need a contractor with the credentials that Farrell Electric has.
029218-0001	Our Wedding 11/7/08
029218-0002	We just had our wedding on 11/7/08 and was very impressed.
029218-0003	Cj and company did all that we ask and 10 times more.
029218-0004	The food was out standing.
029218-0005	If you need a cater that is affordable and easy to work with they are the ones.
029218-0006	Thanks again Saucey's.
029218-0007	Mark
029230-0001	Best Store In Boothbay Harbor
029230-0002	What a fantastic store, I love this place.
029230-0003	Not the same old stuff that all the other stores have.
029230-0004	Their items are very unique, great quality, great prices.
029230-0005	They also have the best tea I ever had, not at all like the junk you get at the grocery stores, I stock up when ever there because they are closed in the winter.
029870-0001	I found Bright Star Tours and Travels and Best and Affordable Tour Operators and Tours Agents in Chennai, India offered me Student Tour India Package for very less price.
029870-0002	I enjoyed my tour and i am looking for adventure tour and India heritage tours for valuable.
029870-0003	Thanks for Bright Star Tours.
030126-0001	HORRIBLE
030126-0002	This school is the worst one i've ever been to.
030126-0003	I attended it for 2 years, and that was enough.
030126-0004	There's holes everywhere in the ceiling, sewage constantly leaks through the ceiling, and the whole condition of the school is horrible.
030126-0005	The staff and the Principal are rediculous, they don't listen to any input, and they make up rediculous rules ( They banned backpacks, because a teacher TRIPPED OVER a student's).
030126-0006	The education is horrible at best, do society a favor, and do NOT send your student here.
030395-0001	Sanctuary is amazing!
030395-0002	Sanctuary serves delicious, somewhat healthy food in a great restaurant/fast food style.
030395-0003	The employees are really friendly.
030395-0004	And they deliver!
030430-0001	Amazing customer service
030430-0002	I think the women at this salon know that their business is based primarily from referrals. :)
030430-0003	They were amazingly hospitable.
030430-0004	Edit was the best massage therapist I've ever had and I would HIGHLY recommend her!
030811-0001	I've only had good experiences at Adorn, I was greeted and offered a refreshment.
030811-0002	I highly recommend Debi, she does an amazing job, I "love" the way she cuts my hair, extremely thorough and cross checks her work to make sure my hair is perfect.
030811-0003	I always leave loving my hair style.
030875-0001	Slice Pizza at former Britt's Location
030875-0002	Britt's Pizza is long gone.
030875-0003	Their location, the northwest corner of S. 10th & Federal Sts., is now home to Slice Pizza.
031113-0001	Good Pizza at a good price
031113-0002	I just moved nearby and have tried several of the local places, this was the first one and I should have just stuck with it.
031113-0003	The pizza is usually pretty good, the only bad one we got was on a Friday night and it just needed to be cooked a little more, but it was still good.
031113-0004	Their BBQ chicken pizza is one of the better ones I have ever had.
031674-0001	Responsive, kept me apprised of status.
034313-0001	criminal defense lawyer
034313-0002	Mr. Villega is an exceptional California criminal defense lawyer.
034313-0003	He cross examined witnesses relentlessly and had them break down and tell the truth.
034313-0004	If you want an attorney who will defend your right, contact Law Offices of Armando Villega
034320-0001	Fresh and unic!
034320-0002	Very professional, talented, unic and fresh work.
034320-0003	Paula has an amazing gift for creativity, vision and the ability to combine art to / with commercial purpose.
034320-0004	Bravo!
034501-0001	Best Stationery store in Bethesda
034501-0002	Papeluna, a cute Mom/Pop custom printing and paper store, just opened a few days ago.
034501-0003	It is right on the hustle and bustle of Wisconsin Ave but some might miss it as it is nestled in between Subway Sandwiches and Modell's.
034501-0004	I popped in after my afternoon pumpkin spice latte break at Starbucks.
034501-0005	It's an adorable little store filled with lots of stationery goodness.
034501-0006	Cards, wrapping paper, paper, and an area to sit down and talk with someone to design your own invitations or for whatever else your custom printing needs may be.
034501-0007	I gave the woman I spoke with today a "You've been yelped!" card to let her know that Yelp may be a good tool for helping spreading the word about Papeluna.
034501-0008	I ended up buying a birthday card and would probably come back for more.
034501-0009	printing, printing, copies, printing, copies, printing,
034813-0001	Baffled by the one-star reviews
034813-0002	I don't get it.
034813-0003	This place is awesome, with a great ambiance and cool décor, and the food is scrumptious (and especially their signature banana split).
034813-0004	Sure, some items are a little pricey, but c'mon... have you ever been out to eat in Seattle before?
034858-0001	Thank you for fixing the leak on my bathroom!
034858-0002	Thanks!
034995-0001	Food is often expired so check the dates every time!
034995-0002	Also more often than not you end up with a healthy dose of nasty rude attitude from the employees!
035726-0001	The BEST
035726-0002	Dr. Aster and her team have been a strong advocate in the health of both my daughters.
035726-0003	Dr. Aster is very kind an gentle with the children, but also positive and to the point with the parents.
035726-0004	She is and excellent doctor to have on one's team.
035726-0005	Even though I live pretty far from her office I still make the trip so my daughters will have the BEST!
035899-0001	Highly Recommended
035899-0002	We walked in to pick our little man at 10 minutes to closing and heard laughter from kids and the staff.
035899-0003	The facilities are more than adequate and the staff are just phenomenal.
035899-0004	Their sense of humour and calmness when dealing with the little ones amazes me every time I walk in.
035899-0005	We have since moved slightly further away from the centre but it's worth the extra travel, as the care provided exceeds our expectations... especially after a few horrendous daycare experiences elsewhere.
035932-0001	Simple, Quick take away.
035993-0001	They have fresh flowers, lasted a long while in the vase, and the two ladies at the shop know the business well.
035993-0002	I had no problem with my delivery.
035993-0003	I will go there again.
036133-0001	Bit sketchy, sporadic delivery times
036133-0002	I bought about half of the furniture I own from this place.
036133-0003	Why?
036133-0004	Because they cut me good deals if I paid in cash.
036133-0005	Sketchy, right?
036133-0006	Well they came through and delivered almost all of my items within a few days.
036133-0007	(They even got me a couch pretty quickly.)
036133-0008	The guy who was cutting me the deals and getting me the furniture quickly, Ahmed, was nice and mostly professional, except the semi-sketchiness.
036133-0009	Then one day, Ahmed left the country, not to return for months, WITHOUT informing me.
036133-0010	He also neglected to tell the other person working at the store about a dining room table that I had ordered and that was supposed to be coming in.
036133-0011	The other person working at the store didn't know that I still had this table coming.
036133-0012	I had paid in cash, and he said he had no receipt/record of my purchase.
036133-0013	I came back with the receipt Ahmed had provided upon my purchase, and the guy took forever to copy it but said that he would take care of the situation.
036133-0014	I waited.
036133-0015	And waited.
036133-0016	He never once contacted us.
036133-0017	I've had to pester this new guy several times to ask when my table will arrive.
036133-0018	He kept saying different arrival/delivery dates and didn't seem terribly apologetic.
036133-0019	It has been 3 weeks and I STILL don't have my table (which was NOT cheap, I might add).
036133-0020	Point is: You might be able to get a good deal on some nice furniture -- which I did -- but they're not very communicative and god forbid something goes wrong, you'll have to fight to get it resolved.
036753-0001	sheisters
036753-0002	i made the mistake of buying from these thieves.
036753-0003	I paid 2k cash for a truck with a blown motor.
036753-0004	Their so called mechanic said the engine was good and "There is nothing mechanicly wrong with this truck".
036753-0005	Well I think a blown engine falls under the catagory of mechanics right?
036753-0006	Anyway they jimmy rigged it so i could drive it home.
036753-0007	The next day i took it to 2 auto shops and they both told me the same thing,engine is junk.
036753-0008	I called and got the same runaround on hold and noone calls you back.
036753-0009	From a moral standpoint,you guys are really gonna take 2,000 bucks from someone that needs that truck to work and support his family when you know its just a piece of scrap metal?
036753-0010	If it lasted 1 month i could suck it up but 1 day?
036753-0011	Grimy work you guys do.
036753-0012	Buy your kids somethin nice with my 2k bucks.
037179-0001	spot on
037179-0002	this kebab shop is one of the best around the meat is good and fresh and the chilly sauce is the best, keep them lovely kebabs coming and a happy new year to all the staff
037794-0001	We came at around 730 and they close at 8 and wanted to try the specials but they were out for the day so I would say go way before they close.
037794-0002	Got the crab rangoon which was great, tofu with cabbage which was spicy but good and shrimp satay which was also good.
037794-0003	Def going to come back and try this place again.
037794-0004	Bea was really nice and asked how the food was.
037794-0005	Cute place also
038358-0001	heating system Angels
038358-0002	seriously, can you imagine having to live through these last few nights without heat?
038358-0003	I would have had to because with the economy the way it is i aint haves much monies fo repairs round the House....
038358-0004	Comfort zone came out and did my house heat on the cheap.
038358-0005	and it works!
038358-0006	Thank you Comfort Zone
038523-0001	Friendly service.
038523-0002	Attentive to the needs of customer.
038523-0003	Thanks again!
039173-0001	The waiting staff is really friendly, its like every one knows each other, the manager is really sweet and the food..well no complaints from me.
039173-0002	Yes, its that good.
039383-0001	Might try again
039383-0002	Pros: * Jill, the owner, is very nice and really cares about her feedback * Pretty nice atmosphere * Great Dessert * Not your typical veggie selection, I like!
039383-0003	Don't know where else you can find Purple Hull Peas and some of the other sides.
039383-0004	Cons: * Server wasn't very pleasant * Pretty small portion on the blackened catfish * Overcooked food * Time, took about 25 minutes from ordering to eating.
039383-0005	Half the tables and bar were empty by this point.
039383-0006	Other Thoughts: Will try this place again.
039383-0007	There must be a reason so many people like it there.
039383-0008	Their Club sandwich looks tasty, maybe that'll change my mind.... and a different server.
039856-0001	HORRIBLE SERVICE!!!
039856-0002	Absolute horrible service from the parts department.
039856-0003	They are very rude over the phone and in person.
039856-0004	They talk down to you like they are supreme beings, if you hate your job so much then quit!!
039856-0005	How these guys can get away with being so rude with people is mind blowing.
039856-0006	I will NEVER do business with Sun Toyota again.
039856-0007	Thank god there are plenty of Toyota dealerships to choose from in this city.
040616-0001	we purchased a new home but was unable to sell our old house so we contacted this property management company and they have helped us quickly rent out our house and keep it maintained.
